# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a dos velas,,,a dos velas,cultural_reference,Wiktionary,Wiktionary contributors,,,,"broke, penniless",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_dos_velas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a duras penas,,,a duras penas,cultural_reference,Wiktionary,Wiktionary contributors,,,,"barely, hardly; with great effort or difficulty",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_duras_penas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a escape,,,a escape,cultural_reference,Wiktionary,Wiktionary contributors,,,,fleeing; like a bat out of hell,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_escape,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a escondidas,,,a escondidas,cultural_reference,Wiktionary,Wiktionary contributors,,,,in secret,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_escondidas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a escondidillas,,,a escondidillas,cultural_reference,Wiktionary,Wiktionary contributors,,,,behind someone's back; on the hush-hush,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_escondidillas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a espaldas,,,a espaldas,cultural_reference,Wiktionary,Wiktionary contributors,,,,behind someone's back,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_espaldas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a espuertas,,,a espuertas,cultural_reference,Wiktionary,Wiktionary contributors,,,,by the ton,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_espuertas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a estas alturas del partido,,,a estas alturas del partido,cultural_reference,Wiktionary,Wiktionary contributors,,,,at this point in the game; too late,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_estas_alturas_del_partido,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a fe,,,a fe,cultural_reference,Wiktionary,Wiktionary contributors,,,,actually; truth be told,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_fe,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a fin de cuentas,,,a fin de cuentas,cultural_reference,Wiktionary,Wiktionary contributors,,,,at the end of the day,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_fin_de_cuentas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
